1	88095926	-75.99431817	36.4075987
2	6300786	-75.98399818	36.28479272
3	60390452	-75.98388917	36.3972027
4	95977271	-75.98037017	36.48993068
5	95977305	-75.98806316	36.49738668
6	57909720	-75.98899616	36.52783967
7	15182183	-75.97872918	36.28195772
8	27203903	-75.97019918	36.29326072
9	23155892	-75.97131517	36.49579568
10	33486841	-75.97252017	36.54028367
11	7718695	-75.96891218	36.33212971
12	93875349	-75.96951318	36.3667027
13	11172894	-75.96668017	36.46739768
14	7673959	-75.96560817	36.53894267
15	19042532	-75.96316117	36.53839067
16	8118517	-75.96650917	36.53864967
17	106005480	-75.95947119	36.06685477
18	84654011	-75.95510318	36.33961871
19	84653994	-75.95769018	36.33564171
20	13790477	-75.95335518	36.34266471
21	104078874	-75.95407735	36.34048318
22	93874299	-75.95131718	36.34146371
23	20994622	-75.95140317	36.51390567
24	82212888	-75.95133151	36.53649267
25	67544945	-75.94875318	36.34899071
26	7718681	-75.94902118	36.34742871
27	83601031	-75.94982518	36.34854471
29	93874456	-75.94481518	36.3583307
30	106004062	-75.94779218	36.35145271
31	33486872	-75.94563018	36.51120467
32	53540609	-75.93056719	36.30452272
33	93875691	-75.93638219	36.3665727
34	93874336	-75.93230519	36.3703397
35	93874411	-75.93655419	36.3774227
36	96924936	-75.93088918	36.48182168
37	23686628	-75.92994519	36.30801172
39	95977259	-75.92771318	36.48302968
40	6836711	-75.92531018	36.53094267
43	17775805	-75.9157022	36.28226872
44	15935955	-75.9181432	36.28481972
45	22767356	-75.91749653	36.28243105
46	99254278	-75.9169562	36.28355672
47	45257280	-75.91012919	36.50765367
48	8118579	-75.91523619	36.50787867
49	7674002	-75.91932318	36.54309366
50	7674038	-75.88874619	36.53487367
52	92298880	-75.8739832	36.50631767
53	71685441	-75.8708442	36.51450967
54	1024307	-75.8701212	36.53687366
55	18164497	-75.8702642	36.54271266
57	97761813	-75.86107322	36.17051374
58	99253200	-75.86418622	36.18640874
59	93461617	-75.86956621	36.40593869
60	92298757	-75.8640272	36.48478967
61	2623510	-75.8616242	36.49941767
62	92298737	-75.8652292	36.49789967
63	30283489	-75.8686658	36.49966079
65	11470346	-75.8608942	36.50052167
66	92298812	-75.8681472	36.50866267
68	18568782	-75.8609802	36.50093567
69	50032361	-75.8610232	36.51369867
70	97755662	-75.8625682	36.51859567
71	9342503	-75.8654002	36.52572067
72	92298865	-75.8645422	36.52038967
73	53887411	-75.86694264	36.520826
74	57915309	-75.8635962	36.52339267
75	79144373	-75.8646512	36.52886367
76	104345528	-75.8652062	36.52878667
77	17934728	-75.8675782	36.53436566
78	73956102	-75.8646652	36.53465966
79	33191567	-75.8643922	36.53330466
80	25118386	-75.8652292	36.53170166
81	26494204	-75.8626542	36.53611566
82	12674106	-75.8667742	36.54328666
83	23791419	-75.8670952	36.54968266
85	22300376	-75.8689622	36.54246866
86	13648993	-75.8660442	36.54451066
87	25306488	-75.8672292	36.54903166
88	35776909	-75.8660872	36.54280466
89	9452447	-75.8684042	36.54108066
90	393731	-75.8671172	36.55018266
91	73956163	-75.8673312	36.55049266
92	92299040	-75.85767521	36.45925168
93	92299021	-75.85956421	36.46781168
94	92298902	-75.85733221	36.46946768
95	41560185	-75.85922061	36.46643088
96	4483681	-75.85209621	36.47671468
97	92298842	-75.85939221	36.47857868
98	29506160	-75.85098121	36.47319468
99	29505903	-75.85690321	36.48937867
100	3824027	-75.85329821	36.48472068
101	107589147	-75.85407121	36.48661867
102	92298992	-75.85475721	36.49279367
103	29506195	-75.85630221	36.49610667
104	48776047	-75.85441421	36.49086167
105	53887326	-75.85339321	36.49266067
107	11470285	-75.8592202	36.50107367
108	92298928	-75.8576752	36.50052167
109	62256855	-75.85994265	36.50033156
110	1032330	-75.8596502	36.51259567
111	92298956	-75.8599072	36.51045667
112	48775820	-75.8599072	36.51569967
114	78388239	-75.84166521	36.42869969
115	22162434	-75.84072421	36.43560469
116	38789672	-75.84804121	36.43681368
117	38786454	-75.84726821	36.43360269
118	32404877	-75.84714021	36.43455169
119	67775515	-75.84698021	36.43854068
120	104345524	-75.84208121	36.43908468
121	11470332	-75.84113221	36.44166368
122	92299057	-75.84771921	36.44958668
123	40874490	-75.84623921	36.44742968
124	36758551	-75.84154921	36.44172468
125	24996439	-75.84432921	36.45283168
126	36540678	-75.84647521	36.45383268
127	29506204	-75.84497321	36.45566268
128	32067571	-75.84754721	36.46297968
129	10185612	-75.83862123	36.09432476
130	6551117	-75.83038122	36.3699427
131	11125579	-75.83862122	36.3655887
132	1201323	-75.83108422	36.3769227
133	5514092	-75.83296722	36.3744777
134	13870921	-75.83138422	36.3764257
135	81685846	-75.83110522	36.3754817
136	8885980	-75.83208722	36.3730087
137	65421096	-75.83332072	36.372533
138	3253557	-75.83381522	36.3735017
139	3572903	-75.83175522	36.3771987
140	51358637	-75.83205122	36.3790067
141	3771619	-75.83272622	36.3733197
142	75408252	-75.83292722	36.3799827
143	65294126	-75.83071722	36.3763707
144	14630207	-75.83251622	36.3754577
145	97040857	-75.83248422	36.3738037
146	51687270	-75.83143322	36.3729397
147	62559766	-75.83046722	36.3734667
148	77800379	-75.83370422	36.3752067
149	45257297	-75.83012422	36.3787877
151	36540709	-75.83840622	36.3764387
153	51544741	-75.83250822	36.3724687
154	51427502	-75.83134222	36.3735617
155	14130427	-75.83115922	36.3765117
156	3630893	-75.83312822	36.3742017
157	4053403	-75.83262322	36.3732707
158	65294130	-75.83091522	36.3761547
159	87744681	-75.83210922	36.3749527
160	3177407	-75.83148622	36.3765857
161	5991548	-75.83206622	36.3757127
162	13195014	-75.83259122	36.3750567
163	455422	-75.83399222	36.3744557
164	11357640	-75.83330022	36.3720847
165	99251148	-75.83309022	36.3734537
166	5348039	-75.83055322	36.3757477
167	14355716	-75.83184022	36.3787797
168	7257771	-75.83341822	36.3739507
169	105530502	-75.83067722	36.3761837
